flower suggestions for my girlfriend,flower_recommendations
flower suggestions,flower_recommendations
Flower recommendations,flower_recommendations
recommend me a bouquet,flower_recommendations
Which flowers for Valentine's Day?,flower_recommendations
c ya,goodbyes
talk to you soon,goodbyes
catch you later,goodbyes
good bye,goodbyes
bye,goodbyes
see you,goodbyes
good morning,greetings
good afternoon,greetings
good evening,greetings
kia ora,greetings
hello,greetings
hi,greetings
hey,greetings
Are you open on Sundays?,hours_info
what are you hours of operation in Toronto,hours_info
what are the hours of operation for your Montreal store,hours_info
When do you open,hours_info
When are you open,hours_info
What days are you closed on?,hours_info
Are you open on Christmas' Day?,hours_info
When do you close,hours_info
Are you open on Saturdays?,hours_info
What time are you open until?,hours_info
What are your hours of operation?,hours_info
What are your hours?,hours_info
What are your locations?,location_info
List of location,location_info
Give me a list of locations,location_info
where is your Toronto store?,location_info
do you have a flower shop in Montreal,location_info
What's the address of your Toronto store?,location_info
what's the address of your Vancouver store?,location_info
Locations in Canada,location_info
locations in America,location_info
list of your locations,location_info
Where are your stores?,location_info
Where are you physically located?,location_info
cheers,thank_you
appreciate it,thank_you
thank you,thank_you
thanks,thank_you
thx,thank_you
